lane_id	read1	read2	sample_id	contigs_path
14792_19	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_19_clean/SLX/14792_19_clean/14792_19_clean/14792_19_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_19_clean/SLX/14792_19_clean/14792_19_clean/14792_19_clean_2.fastq.gz	14792_19	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_19_final_assembly.fasta
14792_20	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_20_clean/SLX/14792_20_clean/14792_20_clean/14792_20_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_20_clean/SLX/14792_20_clean/14792_20_clean/14792_20_clean_2.fastq.gz	14792_20	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_20_final_assembly.fasta
14792_21	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_21_clean/SLX/14792_21_clean/14792_21_clean/14792_21_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_21_clean/SLX/14792_21_clean/14792_21_clean/14792_21_clean_2.fastq.gz	14792_21	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_21_final_assembly.fasta
14792_22	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_22_clean/SLX/14792_22_clean/14792_22_clean/14792_22_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_22_clean/SLX/14792_22_clean/14792_22_clean/14792_22_clean_2.fastq.gz	14792_22	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_22_final_assembly.fasta
14792_23	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_23_clean/SLX/14792_23_clean/14792_23_clean/14792_23_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_23_clean/SLX/14792_23_clean/14792_23_clean/14792_23_clean_2.fastq.gz	14792_23	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_23_final_assembly.fasta
14792_24	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_24_clean/SLX/14792_24_clean/14792_24_clean/14792_24_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_24_clean/SLX/14792_24_clean/14792_24_clean/14792_24_clean_2.fastq.gz	14792_24	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_24_final_assembly.fasta
14792_25	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_25_clean/SLX/14792_25_clean/14792_25_clean/14792_25_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_25_clean/SLX/14792_25_clean/14792_25_clean/14792_25_clean_2.fastq.gz	14792_25	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_25_final_assembly.fasta
14792_26	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_26_clean/SLX/14792_26_clean/14792_26_clean/14792_26_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_26_clean/SLX/14792_26_clean/14792_26_clean/14792_26_clean_2.fastq.gz	14792_26	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_26_final_assembly.fasta
14792_27	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_27_clean/SLX/14792_27_clean/14792_27_clean/14792_27_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_27_clean/SLX/14792_27_clean/14792_27_clean/14792_27_clean_2.fastq.gz	14792_27	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_27_final_assembly.fasta
14792_28	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_28_clean/SLX/14792_28_clean/14792_28_clean/14792_28_clean_1.fastq.gz	/lustre/scratch118/infgen/pathogen/pathpipe/pathogen_prok_external/seq-pipelines/human/gut_metagenome/TRACKING/100336/14792_28_clean/SLX/14792_28_clean/14792_28_clean/14792_28_clean_2.fastq.gz	14792_28	/nfs/users/nfs_v/vc11/lustre/DATABASES/baby_biome_3336/14792_28_final_assembly.fasta
